252019-05-15 06:15:13000 | 25 | 2019-05-15 06:15:13 | 0 | 2019-05-15
6912019-05-15 06:31:12000 | 691 | 2019-05-15 06:31:12 | 0 | 2019-05-15
502019-05-15 06:40:31000 | 50 | 2019-05-15 06:40:31 | 0 | 2019-05-15
22019-05-15 06:46:13000 | 2 | 2019-05-15 06:46:13 | 0 | 2019-05-15
12019-05-15 06:47:49000 | 1 | 2019-05-15 06:47:49 | 0 | 2019-05-15
7742019-05-15 06:47:59000 | 774 | 2019-05-15 06:47:59 | 0 | 2019-05-15
112019-05-15 06:50:51000 | 11 | 2019-05-15 06:50:51 | 0 | 2019-05-15
182019-05-15 06:50:58000 | 18 | 2019-05-15 06:50:58 | 0 | 2019-05-15
7072019-05-15 06:52:44000 | 707 | 2019-05-15 06:52:44 | 0 | 2019-05-15
6312019-05-15 06:53:03000 | 631 | 2019-05-15 06:53:03 | 0 | 2019-05-15
7772019-05-15 06:53:13000 | 777 | 2019-05-15 06:53:13 | 0 | 2019-05-15
7092019-05-15 06:53:26000 | 709 | 2019-05-15 06:53:26 | 0 | 2019-05-15
6052019-05-15 06:53:35000 | 605 | 2019-05-15 06:53:35 | 0 | 2019-05-15
842019-05-15 06:53:38000 | 84 | 2019-05-15 06:53:38 | 0 | 2019-05-15
5982019-05-15 06:53:45000 | 598 | 2019-05-15 06:53:45 | 0 | 2019-05-15
6412019-05-15 06:56:13000 | 641 | 2019-05-15 06:56:13 | 0 | 2019-05-15
282019-05-15 06:58:24000 | 28 | 2019-05-15 06:58:24 | 0 | 2019-05-15
282019-05-15 06:58:26000 | 28 | 2019-05-15 06:58:26 | 0 | 2019-05-15
6192019-05-15 07:00:36000 | 619 | 2019-05-15 07:00:36 | 0 | 2019-05-15
202019-05-15 07:00:43000 | 20 | 2019-05-15 07:00:43 | 0 | 2019-05-15
132019-05-15 07:00:50000 | 13 | 2019-05-15 07:00:50 | 0 | 2019-05-15
132019-05-15 07:00:52000 | 13 | 2019-05-15 07:00:52 | 0 | 2019-05-15
7682019-05-15 07:02:34000 | 768 | 2019-05-15 07:02:34 | 0 | 2019-05-15
222019-05-15 07:03:18000 | 22 | 2019-05-15 07:03:18 | 0 | 2019-05-15
222019-05-15 07:03:21000 | 22 | 2019-05-15 07:03:21 | 0 | 2019-05-15
6922019-05-15 07:05:53000 | 692 | 2019-05-15 07:05:53 | 0 | 2019-05-15
6922019-05-15 07:05:58000 | 692 | 2019-05-15 07:05:58 | 0 | 2019-05-15
7672019-05-15 07:08:43000 | 767 | 2019-05-15 07:08:43 | 0 | 2019-05-15
